Modelo;Cor;Tam;Códico caixa grade;Descrição modelo;QTD PARES;CAIXA GRADE
4119787;2484;278;7006361;SANDÁLIA HAVAIANAS SLIM LOGO POP-UP;Não recomenda;Não recomenda
4119787;2484;290;7006361;SANDÁLIA HAVAIANAS SLIM LOGO POP-UP;Não recomenda;Não recomenda
4119787;2484;312;7006361;SANDÁLIA HAVAIANAS SLIM LOGO POP-UP;Não recomenda;Não recomenda
4119787;2484;334;7006361;SANDÁLIA HAVAIANAS SLIM LOGO POP-UP;1;F0
4119787;2484;356;7006361;SANDÁLIA HAVAIANAS SLIM LOGO POP-UP;4;F0
4119787;2484;378;7006361;SANDÁLIA HAVAIANAS SLIM LOGO POP-UP;5;F0
4119787;2484;390;7006361;SANDÁLIA HAVAIANAS SLIM LOGO POP-UP;2;F0
4119787;2484;412;7006361;SANDÁLIA HAVAIANAS SLIM LOGO POP-UP;Não recomenda;Não recomenda
4119787;2484;434;7006361;SANDÁLIA HAVAIANAS SLIM LOGO POP-UP;Não recomenda;Não recomenda
4119787;2484;456;7006361;SANDÁLIA HAVAIANAS SLIM LOGO POP-UP;Não recomenda;Não recomenda
4119787;1768;234;7006361;SANDÁLIA HAVAIANAS SLIM LOGO POP-UP;Não recomenda;Não recomenda
4119787;1768;256;7006361;SANDÁLIA HAVAIANAS SLIM LOGO POP-UP;Não recomenda;Não recomenda
4119787;1768;278;7006361;SANDÁLIA HAVAIANAS SLIM LOGO POP-UP;Não recomenda;Não recomenda
4119787;1768;290;7006361;SANDÁLIA HAVAIANAS SLIM LOGO POP-UP;Não recomenda;Não recomenda
4119787;1768;312;7006361;SANDÁLIA HAVAIANAS SLIM LOGO POP-UP;Não recomenda;Não recomenda
4119787;1768;334;7006361;SANDÁLIA HAVAIANAS SLIM LOGO POP-UP;1;F0
4119787;1768;356;7006361;SANDÁLIA HAVAIANAS SLIM LOGO POP-UP;4;F0
4119787;1768;378;7006361;SANDÁLIA HAVAIANAS SLIM LOGO POP-UP;5;F0
4119787;1768;390;7006361;SANDÁLIA HAVAIANAS SLIM LOGO POP-UP;2;F0
4119787;1768;412;7006361;SANDÁLIA HAVAIANAS SLIM LOGO POP-UP;Não recomenda;Não recomenda
4119787;1768;434;7006361;SANDÁLIA HAVAIANAS SLIM LOGO POP-UP;Não recomenda;Não recomenda
4119787;1768;456;7006361;SANDÁLIA HAVAIANAS SLIM LOGO POP-UP;Não recomenda;Não recomenda
4148308;90;256;7015299;SANDÁLIA HAVAIANAS TOP TIMES VASCO DA GAMA;Não recomenda;Não recomenda
4148308;90;278;7015299;SANDÁLIA HAVAIANAS TOP TIMES VASCO DA GAMA;Não recomenda;Não recomenda
4148308;90;290;7015299;SANDÁLIA HAVAIANAS TOP TIMES VASCO DA GAMA;Não recomenda;Não recomenda
4148308;90;312;7015299;SANDÁLIA HAVAIANAS TOP TIMES VASCO DA GAMA;Não recomenda;Não recomenda
4148308;90;334;7015299;SANDÁLIA HAVAIANAS TOP TIMES VASCO DA GAMA;Não recomenda;Não recomenda
4148308;90;356;7015299;SANDÁLIA HAVAIANAS TOP TIMES VASCO DA GAMA;1;M1
4148308;90;378;7015299;SANDÁLIA HAVAIANAS TOP TIMES VASCO DA GAMA;2;M1
4148308;90;390;7015299;SANDÁLIA HAVAIANAS TOP TIMES VASCO DA GAMA;4;M1
4148308;90;412;7015299;SANDÁLIA HAVAIANAS TOP TIMES VASCO DA GAMA;4;M1
4148308;90;434;7015299;SANDÁLIA HAVAIANAS TOP TIMES VASCO DA GAMA;1;M1
4148308;90;456;7015299;SANDÁLIA HAVAIANAS TOP TIMES VASCO DA GAMA;Não recomenda;Não recomenda
4148307;1;256;7015298;SANDÁLIA HAVAIANAS TOP TIMES SÃO PAULO;Não recomenda;Não recomenda
4148307;1;278;7015298;SANDÁLIA HAVAIANAS TOP TIMES SÃO PAULO;Não recomenda;Não recomenda
4148307;1;290;7015298;SANDÁLIA HAVAIANAS TOP TIMES SÃO PAULO;Não recomenda;Não recomenda
4148307;1;312;7015298;SANDÁLIA HAVAIANAS TOP TIMES SÃO PAULO;Não recomenda;Não recomenda
4148307;1;334;7015298;SANDÁLIA HAVAIANAS TOP TIMES SÃO PAULO;Não recomenda;Não recomenda
4148307;1;356;7015298;SANDÁLIA HAVAIANAS TOP TIMES SÃO PAULO;1;M1
4148307;1;378;7015298;SANDÁLIA HAVAIANAS TOP TIMES SÃO PAULO;2;M1
4148307;1;390;7015298;SANDÁLIA HAVAIANAS TOP TIMES SÃO PAULO;4;M1
4148307;1;412;7015298;SANDÁLIA HAVAIANAS TOP TIMES SÃO PAULO;4;M1
4148307;1;434;7015298;SANDÁLIA HAVAIANAS TOP TIMES SÃO PAULO;1;M1
4148307;1;456;7015298;SANDÁLIA HAVAIANAS TOP TIMES SÃO PAULO;Não recomenda;Não recomenda
4148309;2619;256;7015300;SANDÁLIA HAVAIANAS TOP TIMES PALMEIRAS;Não recomenda;Não recomenda
4148309;2619;278;7015300;SANDÁLIA HAVAIANAS TOP TIMES PALMEIRAS;Não recomenda;Não recomenda
4148309;2619;290;7015300;SANDÁLIA HAVAIANAS TOP TIMES PALMEIRAS;Não recomenda;Não recomenda
4148309;2619;312;7015300;SANDÁLIA HAVAIANAS TOP TIMES PALMEIRAS;Não recomenda;Não recomenda
4148309;2619;334;7015300;SANDÁLIA HAVAIANAS TOP TIMES PALMEIRAS;Não recomenda;Não recomenda
4148309;2619;356;7015300;SANDÁLIA HAVAIANAS TOP TIMES PALMEIRAS;1;M1
4148309;2619;378;7015300;SANDÁLIA HAVAIANAS TOP TIMES PALMEIRAS;2;M1
4148309;2619;390;7015300;SANDÁLIA HAVAIANAS TOP TIMES PALMEIRAS;4;M1
4148309;2619;412;7015300;SANDÁLIA HAVAIANAS TOP TIMES PALMEIRAS;4;M1
4148309;2619;434;7015300;SANDÁLIA HAVAIANAS TOP TIMES PALMEIRAS;1;M1
4148309;2619;456;7015300;SANDÁLIA HAVAIANAS TOP TIMES PALMEIRAS;Não recomenda;Não recomenda
4148304;90;256;7015283;SANDÁLIA HAVAIANAS TOP TIMES FLAMENGO;Não recomenda;Não recomenda
4148304;90;278;7015283;SANDÁLIA HAVAIANAS TOP TIMES FLAMENGO;Não recomenda;Não recomenda
4148304;90;290;7015283;SANDÁLIA HAVAIANAS TOP TIMES FLAMENGO;Não recomenda;Não recomenda
4148304;90;312;7015283;SANDÁLIA HAVAIANAS TOP TIMES FLAMENGO;Não recomenda;Não recomenda
4148304;90;334;7015283;SANDÁLIA HAVAIANAS TOP TIMES FLAMENGO;Não recomenda;Não recomenda
4148304;90;356;7015283;SANDÁLIA HAVAIANAS TOP TIMES FLAMENGO;1;M1
4148304;90;378;7015283;SANDÁLIA HAVAIANAS TOP TIMES FLAMENGO;2;M1
4148304;90;390;7015283;SANDÁLIA HAVAIANAS TOP TIMES FLAMENGO;4;M1
4148304;90;412;7015283;SANDÁLIA HAVAIANAS TOP TIMES FLAMENGO;4;M1
4148304;90;434;7015283;SANDÁLIA HAVAIANAS TOP TIMES FLAMENGO;1;M1
4148304;90;456;7015283;SANDÁLIA HAVAIANAS TOP TIMES FLAMENGO;Não recomenda;Não recomenda
4148305;90;256;7015284;SANDÁLIA HAVAIANAS TOP TIMES CORINTHIANS;Não recomenda;Não recomenda
4148305;90;278;7015284;SANDÁLIA HAVAIANAS TOP TIMES CORINTHIANS;Não recomenda;Não recomenda
4148305;90;290;7015284;SANDÁLIA HAVAIANAS TOP TIMES CORINTHIANS;Não recomenda;Não recomenda
4148305;90;312;7015284;SANDÁLIA HAVAIANAS TOP TIMES CORINTHIANS;Não recomenda;Não recomenda
4148305;90;334;7015284;SANDÁLIA HAVAIANAS TOP TIMES CORINTHIANS;Não recomenda;Não recomenda
4148305;90;356;7015284;SANDÁLIA HAVAIANAS TOP TIMES CORINTHIANS;1;M1
4148305;90;378;7015284;SANDÁLIA HAVAIANAS TOP TIMES CORINTHIANS;2;M1
4148305;90;390;7015284;SANDÁLIA HAVAIANAS TOP TIMES CORINTHIANS;4;M1
4148305;90;412;7015284;SANDÁLIA HAVAIANAS TOP TIMES CORINTHIANS;4;M1
4148305;90;434;7015284;SANDÁLIA HAVAIANAS TOP TIMES CORINTHIANS;1;M1
4148305;90;456;7015284;SANDÁLIA HAVAIANAS TOP TIMES CORINTHIANS;Não recomenda;Não recomenda
4147906;9537;290;7014823;SANDÁLIAS HAVAIANAS SLIM GLITTER STRIPES;Não recomenda;Não recomenda
4147906;9537;312;7014823;SANDÁLIAS HAVAIANAS SLIM GLITTER STRIPES;Não recomenda;Não recomenda
4147906;9537;334;7014823;SANDÁLIAS HAVAIANAS SLIM GLITTER STRIPES;1;F0
4147906;9537;356;7014823;SANDÁLIAS HAVAIANAS SLIM GLITTER STRIPES;4;F0
4147906;9537;378;7014823;SANDÁLIAS HAVAIANAS SLIM GLITTER STRIPES;5;F0
4147906;9537;390;7014823;SANDÁLIAS HAVAIANAS SLIM GLITTER STRIPES;2;F0
4147906;9537;412;7014823;SANDÁLIAS HAVAIANAS SLIM GLITTER STRIPES;Não recomenda;Não recomenda
4147906;76;290;7014823;SANDÁLIAS HAVAIANAS SLIM GLITTER STRIPES;Não recomenda;Não recomenda
4147906;76;312;7014823;SANDÁLIAS HAVAIANAS SLIM GLITTER STRIPES;Não recomenda;Não recomenda
4147906;76;334;7014823;SANDÁLIAS HAVAIANAS SLIM GLITTER STRIPES;1;F0
4147906;76;356;7014823;SANDÁLIAS HAVAIANAS SLIM GLITTER STRIPES;4;F0
4147906;76;378;7014823;SANDÁLIAS HAVAIANAS SLIM GLITTER STRIPES;5;F0
4147906;76;390;7014823;SANDÁLIAS HAVAIANAS SLIM GLITTER STRIPES;2;F0
4147906;76;412;7014823;SANDÁLIAS HAVAIANAS SLIM GLITTER STRIPES;Não recomenda;Não recomenda
4147117;6362;290;7014225;SANDÁLIA HAVAIANAS STRADI;Não recomenda;Não recomenda
4147117;6362;312;7014225;SANDÁLIA HAVAIANAS STRADI;Não recomenda;Não recomenda
4147117;6362;334;7014225;SANDÁLIA HAVAIANAS STRADI;1;M0
4147117;6362;356;7014225;SANDÁLIA HAVAIANAS STRADI;2;M0
4147117;6362;378;7014225;SANDÁLIA HAVAIANAS STRADI;3;M0
4147117;6362;390;7014225;SANDÁLIA HAVAIANAS STRADI;3;M0
4147117;6362;412;7014225;SANDÁLIA HAVAIANAS STRADI;2;M0
4147117;6362;434;7014225;SANDÁLIA HAVAIANAS STRADI;1;M0
4147117;6362;456;7014225;SANDÁLIA HAVAIANAS STRADI;Não recomenda;Não recomenda
4147117;7600;290;7014225;SANDÁLIA HAVAIANAS STRADI;Não recomenda;Não recomenda
