CD_PRODUTO;loja
4148607;700005
4148255;700005
4129848;700005
4148246;700005
4148001;700005
4146953;700005
4147516;700005
4147237;700005
4147790;700005
4119787;700005
4147084;700005
4148272;700005
4147884;700005
4148442;700005
4148299;700005
4148278;700005
4148446;700005
4146970;700005
4000047;700005
4148215;700005
4148460;700005
4145753;700005
4139511;700005
4148418;700005
4147929;700005
4147338;700005
4148463;700005
4140449;700005
4148462;700005
4146862;700005
4148296;700005
4148150;700005
4148218;700005
4147906;700005
4147020;700005
4147926;700005
4147255;700005
4148277;700005
4141384;700005
4147258;700005
4141765;700005
4148102;700005
4148380;700005
4148041;700005
4147797;700005
4148294;700005
4148308;700005
4147865;700005
4147973;700005
4148377;700005
4145643;700005
4145746;700005
4145488;700005
4147131;700005
4148151;700005
4147115;700005
4148416;700005
4146081;700005
4148417;700005
4000039;700005
4148447;700005
4131932;700005
4145468;700005
4146559;700005
4147273;700005
4147852;700005
4146974;700005
4148551;700005
4148065;700005
4147329;700005
4148295;700005
4148221;700005
4146954;700005
4148232;700005
4148298;700005
4146935;700005
4141763;700005
4146078;700005
4145465;700005
4146908;700005
4147966;700005
4148261;700005
4141387;700005
4148448;700005
4148219;700005
4148260;700005
4103352;700005
4147955;700005
4147933;700005
4148228;700005
4148304;700005
4119507;700005
4146300;700005
4147528;700005
4148233;700005
4145745;700005
4147972;700005
4147009;700005
4147292;700005
4148310;700005
4147984;700005
4000396;700005
4111355;700005
4144756;700005
4145785;700005
4147928;700005
4147319;700005
4146984;700005
4146958;700005
4148607;700708
4148246;700708
4148001;700708
4147237;700708
4148272;700708
4147884;700708
4148442;700708
4148299;700708
4148278;700708
4146962;700708
4148446;700708
4146970;700708
4147238;700708
4148215;700708
4148460;700708
4139511;700708
4146978;700708
4148418;700708
4148463;700708
4140449;700708
4148462;700708
4148296;700708
4148150;700708
4148218;700708
4147906;700708
4147926;700708
4147255;700708
4148277;700708
4141384;700708
4141765;700708
4148102;700708
4148380;700708
4148041;700708
4148294;700708
4147865;700708
4148377;700708
4135185;700708
4147131;700708
4148151;700708
4147115;700708
4148416;700708
4148417;700708
4000039;700708
4148447;700708
4145468;700708
4146559;700708
4147273;700708
4148300;700708
4148551;700708
4147329;700708
4148221;700708
4148232;700708
4148298;700708
4141763;700708
4146078;700708
4145465;700708
4147966;700708
4146823;700708
4148261;700708
4148448;700708
4148260;700708
4148228;700708
4119507;700708
4146300;700708
4148233;700708
4145745;700708
4147972;700708
4147009;700708
4147292;700708
4148310;700708
4147984;700708
4000396;700708
4145785;700708
4147928;700708
4147319;700708
4148607;700961
4129848;700961
4148246;700961
4148001;700961
4147516;700961
4147237;700961
4146091;700961
4119787;700961
4147084;700961
4148272;700961
4147884;700961
4148442;700961
4146086;700961
4148299;700961
4148278;700961
4146962;700961
4141386;700961
4148446;700961
4137125;700961
4146970;700961
4145787;700961
4000047;700961
4148215;700961
4148460;700961
4146967;700961
4147312;700961
4146673;700961
4139511;700961
4146978;700961
4148418;700961
4147929;700961
4147338;700961
4148463;700961
4140449;700961
4148462;700961
4146862;700961
4148296;700961
4148150;700961
4148218;700961
4147906;700961
4147020;700961
4000052;700961
4147926;700961
4147255;700961
4148277;700961
4141384;700961
4146976;700961
4147258;700961
4135045;700961
4141765;700961
4145748;700961
4148102;700961
4146310;700961
4148380;700961
4148041;700961
4147797;700961
4148294;700961
4148308;700961
4147865;700961
4147973;700961
4001280;700961
4146929;700961
4148377;700961
4145488;700961
4147131;700961
4147115;700961
4148416;700961
4148417;700961
4000039;700961
4148447;700961
4145576;700961
4145468;700961
4146559;700961
4147273;700961
4147852;700961
4130090;700961
4146857;700961
4146974;700961
4148551;700961
4148065;700961
4147329;700961
4141348;700961
4148221;700961
4146954;700961
4127273;700961
4146087;700961
4148232;700961
4148298;700961
4146935;700961
4147875;700961
4141763;700961
4146078;700961
4145465;700961
4135102;700961
4129697;700961
4146908;700961
4145406;700961
4147966;700961
4148261;700961
4141387;700961
4148448;700961
4148219;700961
4148260;700961
4147933;700961
4148228;700961
4148304;700961
4119507;700961
4146300;700961
4147528;700961
4136977;700961
4148238;700961
4148233;700961
4145745;700961
4147972;700961
4147009;700961
4147292;700961
4148310;700961
4147984;700961
4000396;700961
4147253;700961
4144756;700961
4145785;700961
4147928;700961
4147319;700961
4146984;700961
