CATEGORIA;LINHA;FAMILIA;COD_MOD;COD_GRADE;DESC_MOD;COD_COR;DESC_COR;TAMANHO_ID;COLECAO;FABRICA_ORIGEM;NACIONALIDADE;MULTIPLO;EXCLUSIVO;DATA_LANCAMENTO;PRECO_ADULTO;PRECO_INFANTIL;COD_MOD_DE;COD_COR_DE;HERANCA;TIPO_PREVISAO;REDE_S|SE_COMPACTA;REDE_S|SE_QUIOSQUE;REDE_N|NE|CO_COMPACTA;REDE_N|NE|CO_QUIOSQUE;VOLUME_S|SE_FULL|COMPACTA;VOLUME_S|SE_QUIOSQUE;VOLUME_N|NE|CO_FULL|COMPACTA;VOLUME_N|NE|CO_QUIOSQUE;EXPERIENCIA;E-COMMERCE;CONCEPT;MORUMBI;LEBLON;CONCEPT_RIO;IGUATEMI;M0;M2;M3;M4;M39;M80;M81;M82;M83;M84;M85;M67;F0;F2;F80;F81;F82;F83;F84;F69;F70;J1;J2;J3;I0;I80;I81;I82;B0;B2;B80;B81;B82;HF1;F3;HF4;W11;W12;CS1;CS2;CS3;CS4
SANDÁLIAS;FEMININO;PROJETO ESPECIAL;4147559;7014545;TOP CONFETE CARNAVAL;89;AZUL INDIGO;SA334/456;PRÉ VENDA;A022;NACIONAL;12;;;22,91;;0;0;;DEFAULT;;;;;;;;;X;X;X;X;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SANDÁLIAS;FEMININO;PROJETO ESPECIAL;4147287;7014350;SLIM SHINE BRANCO;1;BRANCO;SA334/456;PRÉ VENDA;A022;NACIONAL;12;;;33,33;;0;0;;DEFAULT;;;;;;;;;X;X;X;X;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SANDÁLIAS;FEMININO;PROJETO ESPECIAL;4147287;7014350;SLIM SHINE BEGE PALHA;121;BEGE PALHA;SA334/456;PRÉ VENDA;A022;NACIONAL;12;;;33,33;;0;0;;DEFAULT;;;;;;;;;X;X;X;X;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SANDÁLIAS;UNISSEX;PRIDE;4147797;7014720;SLIM PRIDE II;121;BEGE PALHA;SA334/456;COLEÇÃO 22/23;A022;NACIONAL;12;;2022-04-01;25,00;;4146907;90;2;DEFAULT;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;;;;;;;;;;;;;;;;;;;;
SANDÁLIAS;FEMININO;PROJETO ESPECIAL;4146347;7013720;SLIM PARTY BRANCO;1;BRANCO;SA334/456;PRÉ VENDA;A022;NACIONAL;12;;;25,00;;0;0;;DEFAULT;;;;;;;;;X;X;X;X;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SANDÁLIAS;FEMININO;PROJETO ESPECIAL;4146347;7013720;SLIM PARTY BEGE PALHA;121;BEGE PALHA;SA334/456;PRÉ VENDA;A022;NACIONAL;12;;;25,00;;0;0;;DEFAULT;;;;;;;;;X;X;X;X;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SANDÁLIAS;FEMININO;SLIM;4147060;-1;SLIM IRIDESCENT;76;ROSA BALLET;SA334/412;COLEÇÃO 21/22;0;NACIONAL;12;;;;;0;0;;DEFAULT;;;;;;;;;X;X;x;x;x;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SANDÁLIAS;FEMININO;SLIM;4147060;-1;SLIM IRIDESCENT;5251;LILAS CALMO;SA334/412;COLEÇÃO 21/22;0;NACIONAL;12;;;;;0;0;;DEFAULT;;;;;;;;;X;X;x;x;x;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SANDÁLIAS;FEMININO;SLIM;4147060;-1;SLIM IRIDESCENT;904;LIMA;SA334/412;COLEÇÃO 21/22;0;NACIONAL;12;;;;;0;0;;DEFAULT;;;;;;;;;X;X;X;X;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SANDÁLIAS;FEMININO;PROJETO ESPECIAL;4146672;-1;SLIM FOLIA CARNAVAL;5784;ROSA FLUX;SA334/456;PRÉ VENDA;A022;NACIONAL;12;;;33,33;;0;0;;DEFAULT;;;;;;;;;X;X;X;X;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SANDÁLIAS;FEMININO;PROJETO ESPECIAL;4147561;7014550;SLIM CONFETE CARNAVAL;869;MUSGO;SA334/456;PRÉ VENDA;A022;NACIONAL;12;;;22,91;;0;0;;DEFAULT;;;;;;;;;X;X;X;X;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SANDÁLIAS;UNISSEX;TRAD ZORI;4146559;7013740;SANDÁLIAS HAVAIANAS TRADI ZORI II;128;BRANCO/PRETO;SA356/456;CARRY OVER;A022;NACIONAL;12;;2021-10-01;119,99;;4145718;128;1;DEFAULT;X;;X;;X;;X;;X;X;x;x;x;x;x;;X;;;;;;;;;;;X;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;
SANDÁLIAS;UNISSEX;TRAD ZORI;4146559;7013740;SANDÁLIAS HAVAIANAS TRADI ZORI II;133;PRETO/BRANCO;SA356/456;CARRY OVER;A022;NACIONAL;12;;;119,99;;4145718;133;1;DEFAULT;X;;X;;X;;X;;X;X;x;x;x;x;x;;X;;;;;;;;;;;X;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;
SANDÁLIAS;UNISSEX;TRAD ZORI;4146559;7013740;SANDÁLIAS HAVAIANAS TRADI ZORI II;1069;PRETO/PRETO;SA356/456;CARRY OVER;A022;NACIONAL;12;;2021-10-01;119,99;;4145718;1069;1;DEFAULT;X;;X;;X;;X;;X;X;x;x;x;x;x;;X;;;;;;;;;;;X;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;
SANDÁLIAS;UNISSEX;TRAD ZORI;4146559;7013740;SANDÁLIAS HAVAIANAS TRADI ZORI II;5784;ROSA FLUX;SA356/456;CARRY OVER;A022;NACIONAL;12;;;119,99;;4145718;5784;1;DEFAULT;X;;X;;X;;X;;X;X;x;x;x;x;x;;X;;;;;;;;;;;X;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;
SANDÁLIAS;UNISSEX;TRAD ZORI;4146559;7013740;SANDÁLIAS HAVAIANAS TRADI ZORI II;31;AZUL;SA356/456;CARRY OVER;A022;NACIONAL;12;;2021-10-01;119,99;;4145718;31;1;DEFAULT;X;;X;;X;;X;;X;X;x;x;x;x;x;;X;;;;;;;;;;;X;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;
SANDÁLIAS;UNISSEX;TRAD ZORI;4146559;7013740;SANDÁLIAS HAVAIANAS TRADI ZORI II;776;AMAR OURO;SA356/456;CARRY OVER;A022;NACIONAL;12;;;119,99;;4145718;776;1;DEFAULT;X;;X;;X;;X;;X;X;x;x;x;x;x;;X;;;;;;;;;;;X;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;
